ICD10CMCODE,DiagnosisDesc,TotalDiag,PrimaryDiag,SecondDiag
T43.626A,"UNDERDOSING OF AMPHETAMINES, INITIAL ENCOUNTER",46,,46
T43.626D,"UNDERDOSING OF AMPHETAMINES, SUBSEQUENT ENCOUNTER",1,,1
T43.631A,"POISONING BY METHYLPHENIDATE, ACCIDENTAL, INIT",12,5,7
T43.631S,"POISONING BY METHYLPHENIDATE, ACCIDENTAL, SEQUELA",1,,1
T43.632A,"POISONING BY METHYLPHENIDATE, INTENTIONAL SELF-HARM, INIT",22,9,13
T43.632D,"POISONING BY METHYLPHENIDATE, INTENTIONAL SELF-HARM, SUBS",6,1,5
T43.634A,"POISONING BY METHYLPHENIDATE, UNDETERMINED, INIT ENCNTR",1,1,
T43.634D,"POISONING BY METHYLPHENIDATE, UNDETERMINED, SUBS ENCNTR",1,,1
T43.635A,"ADVERSE EFFECT OF METHYLPHENIDATE, INITIAL ENCOUNTER",17,,17
T43.635D,"ADVERSE EFFECT OF METHYLPHENIDATE, SUBSEQUENT ENCOUNTER",1,,1
T43.636A,"UNDERDOSING OF METHYLPHENIDATE, INITIAL ENCOUNTER",15,,15
T43.641A,"POISONING BY ECSTASY, ACCIDENTAL (UNINTENTIONAL), INIT",21,11,10
T43.642A,"POISONING BY ECSTASY, SELF-HARM, INITIAL ENCOUNTER",4,2,2
T43.642D,"POISONING BY ECSTASY, SELF-HARM, SUBSEQUENT ENCOUNTER",2,,2
T43.644A,"POISONING BY ECSTASY, UNDETERMINED, INITIAL ENCOUNTER",1,,1
T43.691A,"POISONING BY OTH PSYCHOSTIM, ACCIDENTAL, INIT",20,14,6
T43.692A,"POISONING BY OTH PSYCHOSTIMULANTS, SELF-HARM, INIT",7,3,4
T43.694A,"POISONING BY OTH PSYCHOSTIMULANTS, UNDETERMINED, INIT ENCNTR",1,,1
T43.695A,"ADVERSE EFFECT OF OTHER PSYCHOSTIMULANTS, INITIAL ENCOUNTER",13,,13
T43.696A,"UNDERDOSING OF OTHER PSYCHOSTIMULANTS, INITIAL ENCOUNTER",1,,1
T43.8X1A,"POISONING BY OTH PSYCHOTROPIC DRUGS, ACCIDENTAL, INIT",31,17,14
T43.8X2A,"POISONING BY OTH PSYCHOTROPIC DRUGS, SELF-HARM, INIT",15,7,8
T43.8X2S,"POISONING BY OTH PSYCHOTROPIC DRUGS, SELF-HARM, SEQUELA",1,,1
T43.8X4A,"POISONING BY OTH PSYCHOTROPIC DRUGS, UNDETERMINED, INIT",3,3,
T43.8X5A,"ADVERSE EFFECT OF OTHER PSYCHOTROPIC DRUGS, INIT ENCNTR",99,,99
T43.8X5S,"ADVERSE EFFECT OF OTHER PSYCHOTROPIC DRUGS, SEQUELA",2,,2
T43.8X6A,"UNDERDOSING OF OTHER PSYCHOTROPIC DRUGS, INITIAL ENCOUNTER",9,,9
T43.8X6D,"UNDERDOSING OF OTHER PSYCHOTROPIC DRUGS, SUBS ENCNTR",1,,1
T43.91XA,"POISONING BY UNSP PSYCHOTROPIC DRUG, ACCIDENTAL, INIT",17,10,7
T43.92XA,"POISONING BY UNSP PSYCHOTROPIC DRUG, SELF-HARM, INIT",9,5,4
T43.92XD,"POISONING BY UNSP PSYCHOTROPIC DRUG, SELF-HARM, SUBS",2,,2
T43.94XA,"POISONING BY UNSP PSYCHOTROPIC DRUG, UNDETERMINED, INIT",1,,1
T43.95XA,"ADVERSE EFFECT OF UNSPECIFIED PSYCHOTROPIC DRUG, INIT ENCNTR",145,,145
T43.95XS,"ADVERSE EFFECT OF UNSPECIFIED PSYCHOTROPIC DRUG, SEQUELA",4,,4
T43.96XA,"UNDERDOSING OF UNSPECIFIED PSYCHOTROPIC DRUG, INIT ENCNTR",31,,31
T44.0X1A,"POISONING BY ANTICHOLIN AGENTS, ACCIDENTAL, INIT",3,1,2
T44.0X2A,"POISONING BY ANTICHOLINESTERASE AGENTS, SELF-HARM, INIT",1,1,
T44.0X5A,"ADVERSE EFFECT OF ANTICHOLINESTERASE AGENTS, INIT ENCNTR",87,,87
T44.0X5D,"ADVERSE EFFECT OF ANTICHOLINESTERASE AGENTS, SUBS ENCNTR",3,,3
T44.0X6A,"UNDERDOSING OF ANTICHOLINESTERASE AGENTS, INITIAL ENCOUNTER",7,,7
T44.1X1A,"POISONING BY OTH PARASYMPATH, ACCIDENTAL, INIT",3,1,2
T44.1X2A,"POISONING BY OTH PARASYMPATHOMIMETICS, SELF-HARM, INIT",3,1,2
T44.1X4A,"POISONING BY OTH PARASYMPATHOMIMETICS, UNDETERMINED, INIT",1,,1
T44.1X5A,"ADVERSE EFFECT OF OTHER PARASYMPATHOMIMETICS, INIT ENCNTR",140,,140
T44.1X5D,"ADVERSE EFFECT OF OTHER PARASYMPATHOMIMETICS, SUBS ENCNTR",1,,1
T44.1X6A,"UNDERDOSING OF OTHER PARASYMPATHOMIMETICS, INITIAL ENCOUNTER",5,,5
T44.3X1A,"POISONING BY OTH PARASYMPATH AND SPASMOLYTICS, ACC, INIT",80,45,35
T44.3X1S,"POISONING BY OTH PARASYMPATH AND SPASMOLYTICS, ACC, SEQUELA",1,,1
T44.3X2A,"POISN BY OTH PARASYMPATH AND SPASMOLYTICS, SELF-HARM, INIT",88,34,54
T44.3X2D,"POISN BY OTH PARASYMPATH AND SPASMOLYTICS, SELF-HARM, SUBS",2,,2
T44.3X4A,"POISONING BY OTH PARASYMPATH AND SPASMOLYTICS, UNDET, INIT",12,3,9
T44.3X5A,"ADVERSE EFFECT OF PARASYMPATHOLYTICS AND SPASMOLYTICS, INIT",383,,383
T44.3X6A,"UNDERDOSING OF OTH PARASYMPATHOLYTICS AND SPASMOLYTICS, INIT",118,,118
T44.3X6D,"UNDERDOSING OF OTH PARASYMPATHOLYTICS AND SPASMOLYTICS, SUBS",1,,1
T44.4X1A,"POISONING BY PREDOM ALPHA-ADRENOCPT AGONISTS, ACC, INIT",6,1,5
T44.4X2A,"POISN BY PREDOM ALPHA-ADRENOCPT AGONISTS, SELF-HARM, INIT",6,1,5
T44.4X5A,"ADVERSE EFFECT OF PREDOM ALPHA-ADRENOCPT AGONISTS, INIT",87,,87
T44.4X5D,"ADVERSE EFFECT OF PREDOM ALPHA-ADRENOCPT AGONISTS, SUBS",1,,1
T44.4X6A,"UNDERDOSING OF PREDOMINANTLY ALPHA-ADRENOCPT AGONISTS, INIT",5,,5
T44.5X1A,"POISONING BY PREDOM BETA-ADRENOCPT AGONISTS, ACC, INIT",9,6,3
T44.5X2A,"POISONING BY PREDOM BETA-ADRENOCPT AGONISTS, SELF-HARM, INIT",3,1,2
T44.5X5A,"ADVERSE EFFECT OF PREDOM BETA-ADRENOCPT AGONISTS, INIT",332,,332
T44.5X5D,"ADVERSE EFFECT OF PREDOM BETA-ADRENOCPT AGONISTS, SUBS",1,,1
T44.5X5S,"ADVERSE EFFECT OF PREDOM BETA-ADRENOCPT AGONISTS, SEQUELA",1,,1
T44.5X6A,"UNDERDOSING OF PREDOMINANTLY BETA-ADRENOCPT AGONISTS, INIT",52,,52
T44.6X1A,"POISONING BY ALPHA-ADRENOCPT ANTAGONISTS, ACCIDENTAL, INIT",25,9,16
T44.6X2A,"POISONING BY ALPHA-ADRENOCPT ANTAGONISTS, SELF-HARM, INIT",57,17,40
T44.6X2D,"POISONING BY ALPHA-ADRENOCPT ANTAGONISTS, SELF-HARM, SUBS",4,,4
T44.6X5A,"ADVERSE EFFECT OF ALPHA-ADRENORECEPTOR ANTAGONISTS, INIT",341,1,340
T44.6X5D,"ADVERSE EFFECT OF ALPHA-ADRENORECEPTOR ANTAGONISTS, SUBS",4,,4
T44.6X6A,"UNDERDOSING OF ALPHA-ADRENORECEPTOR ANTAGONISTS, INIT ENCNTR",63,,63
T44.7X1A,"POISONING BY BETA-ADRENOCPT ANTAGONISTS, ACCIDENTAL, INIT",285,171,114
T44.7X1D,"POISONING BY BETA-ADRENOCPT ANTAGONISTS, ACCIDENTAL, SUBS",1,,1
T44.7X2A,"POISONING BY BETA-ADRENOCPT ANTAGONISTS, SELF-HARM, INIT",255,136,119
T44.7X2D,"POISONING BY BETA-ADRENOCPT ANTAGONISTS, SELF-HARM, SUBS",10,,10
T44.7X3A,"POISONING BY BETA-ADRENORECEPTOR ANTAGONISTS, ASSAULT, INIT",1,1,
T44.7X4A,"POISONING BY BETA-ADRENOCPT ANTAGONISTS, UNDETERMINED, INIT",4,2,2
T44.7X5A,"ADVERSE EFFECT OF BETA-ADRENORECEPTOR ANTAGONISTS, INIT",4045,3,4042
T44.7X5D,"ADVERSE EFFECT OF BETA-ADRENORECEPTOR ANTAGONISTS, SUBS",11,,11
T44.7X5S,"ADVERSE EFFECT OF BETA-ADRENORECEPTOR ANTAGONISTS, SEQUELA",1,,1
T44.7X6A,"UNDERDOSING OF BETA-ADRENORECEPTOR ANTAGONISTS, INIT ENCNTR",534,1,533
T44.8X1A,"POISONING BY CENTR-ACTING/ADREN-NEURN-BLOCK AGNT, ACC, INIT",8,4,4
T44.8X2A,"POISN BY CENTR-ACTING/ADREN-NEURN-BLOCK AGNT, SLF-HRM, INIT",6,3,3
T44.8X5A,"ADVERSE EFFECT OF CENTR-ACTING/ADREN-NEURN-BLOCK AGNT, INIT",145,,145
T44.8X6A,"UNDERDOSING OF CENTR-ACTING/ADREN-NEURN-BLOCK AGNT, INIT",28,,28
T44.901A,"POISN BY UNSP DRUGS AFF THE AUTONM NERVOUS SYS, ACC, INIT",9,5,4
T44.904A,"POISN BY UNSP DRUGS AFF THE AUTONM NERVOUS SYS, UNDET, INIT",3,1,2
T44.905A,"ADVRS EFFECT OF UNSP DRUGS AFF THE AUTONM NERVOUS SYS, INIT",11,,11
T44.991A,"POISONING BY OTH DRUG AFF THE AUTONM NERVOUS SYS, ACC, INIT",19,9,10
T44.991S,"POISN BY OTH DRUG AFF THE AUTONM NERVOUS SYS, ACC, SEQUELA",1,,1
T44.992A,"POISN BY OTH DRUG AFF THE AUTONM NERVOUS SYS, SLF-HRM, INIT",10,4,6
T44.992D,"POISN BY OTH DRUG AFF THE AUTONM NERVOUS SYS, SLF-HRM, SUBS",1,,1
T44.992S,"POISN BY OTH DRUG AFF THE AUTONM NRV SYS, SLF-HRM, SEQUELA",1,,1
T44.994D,"POISN BY OTH DRUG AFF THE AUTONM NERVOUS SYS, UNDET, SUBS",1,,1
T44.995A,"ADVERSE EFFECT OF DRUG AFF THE AUTONOMIC NERVOUS SYS, INIT",108,,108
T44.995D,"ADVERSE EFFECT OF DRUG AFF THE AUTONOMIC NERVOUS SYS, SUBS",1,,1
T44.996A,"UNDERDOSING OF DRUG AFF THE AUTONOMIC NERVOUS SYSTEM, INIT",3,,3
T45.0X1A,"POISONING BY ANTIALLERG/ANTIEMETIC, ACCIDENTAL, INIT",247,118,129
T45.0X1D,"POISONING BY ANTIALLERG/ANTIEMETIC, ACCIDENTAL, SUBS",1,,1
T45.0X2A,"POISONING BY ANTIALLERG/ANTIEMETIC, SELF-HARM, INIT",790,364,426
T45.0X2D,"POISONING BY ANTIALLERG/ANTIEMETIC, SELF-HARM, SUBS",91,1,90
T45.0X2S,"POISONING BY ANTIALLERG/ANTIEMETIC, SELF-HARM, SEQUELA",1,,1
T45.0X3A,"POISONING BY ANTIALLERG/ANTIEMETIC, ASSAULT, INIT",6,2,4
T45.0X4A,"POISONING BY ANTIALLERG/ANTIEMETIC, UNDETERMINED, INIT",15,9,6
T45.0X4D,"POISONING BY ANTIALLERG/ANTIEMETIC, UNDETERMINED, SUBS",1,,1
T45.0X5A,"ADVERSE EFFECT OF ANTIALLERGIC AND ANTIEMETIC DRUGS, INIT",776,,776
T45.0X5D,"ADVERSE EFFECT OF ANTIALLERGIC AND ANTIEMETIC DRUGS, SUBS",7,,7
T45.0X5S,"ADVERSE EFFECT OF ANTIALLERGIC AND ANTIEMETIC DRUGS, SEQUELA",2,,2
T45.0X6A,"UNDERDOSING OF ANTIALLERGIC AND ANTIEMETIC DRUGS, INIT",51,,51
T45.1X1A,"POISONING BY ANTINEOPL AND IMMUNOSUP DRUGS, ACC, INIT",116,54,62
T45.1X1D,"POISONING BY ANTINEOPL AND IMMUNOSUP DRUGS, ACC, SUBS",1,,1
T45.1X1S,"POISONING BY ANTINEOPL AND IMMUNOSUP DRUGS, ACC, SEQUELA",4,,4
T45.1X2A,"POISONING BY ANTINEOPL AND IMMUNOSUP DRUGS, SELF-HARM, INIT",13,4,9
T45.1X2D,"POISONING BY ANTINEOPL AND IMMUNOSUP DRUGS, SELF-HARM, SUBS",1,,1
T45.1X3A,"POISONING BY ANTINEOPL AND IMMUNOSUP DRUGS, ASSAULT, INIT",1,,1
T45.1X4A,"POISONING BY ANTINEOPL AND IMMUNOSUP DRUGS, UNDET, INIT",1,,1
T45.1X4S,"POISONING BY ANTINEOPL AND IMMUNOSUP DRUGS, UNDET, SEQUELA",1,1,
T45.1X5A,"ADVERSE EFFECT OF ANTINEOPLASTIC AND IMMUNOSUP DRUGS, INIT",33986,15,33971
T45.1X5D,"ADVERSE EFFECT OF ANTINEOPLASTIC AND IMMUNOSUP DRUGS, SUBS",835,,835
T45.1X5S,"ADVERSE EFFECT OF ANTINEOPL AND IMMUNOSUP DRUGS, SEQUELA",864,,864
T45.1X6A,"UNDERDOSING OF ANTINEOPLASTIC AND IMMUNOSUP DRUGS, INIT",137,,137
T45.1X6S,"UNDERDOSING OF ANTINEOPLASTIC AND IMMUNOSUP DRUGS, SEQUELA",1,,1
T45.2X1A,"POISONING BY VITAMINS, ACCIDENTAL (UNINTENTIONAL), INIT",33,18,15
T45.2X2A,"POISONING BY VITAMINS, INTENTIONAL SELF-HARM, INIT ENCNTR",20,3,17
T45.2X2D,"POISONING BY VITAMINS, INTENTIONAL SELF-HARM, SUBS ENCNTR",4,,4
T45.2X5A,"ADVERSE EFFECT OF VITAMINS, INITIAL ENCOUNTER",96,1,95
T45.2X5S,"ADVERSE EFFECT OF VITAMINS, SEQUELA",1,,1
T45.2X6A,"UNDERDOSING OF VITAMINS, INITIAL ENCOUNTER",29,,29
T45.3X1A,"POISONING BY ENZYMES, ACCIDENTAL (UNINTENTIONAL), INIT",1,1,
T45.3X5A,"ADVERSE EFFECT OF ENZYMES, INITIAL ENCOUNTER",9,,9
T45.4X1A,"POISONING BY IRON AND ITS COMPOUNDS, ACCIDENTAL, INIT",9,5,4
T45.4X1D,"POISONING BY IRON AND ITS COMPOUNDS, ACCIDENTAL, SUBS",1,,1
T45.4X2A,"POISONING BY IRON AND ITS COMPOUNDS, SELF-HARM, INIT",55,29,26
T45.4X2D,"POISONING BY IRON AND ITS COMPOUNDS, SELF-HARM, SUBS",2,,2
T45.4X5A,"ADVERSE EFFECT OF IRON AND ITS COMPOUNDS, INITIAL ENCOUNTER",168,,168
T45.4X5D,"ADVERSE EFFECT OF IRON AND ITS COMPOUNDS, SUBS ENCNTR",4,,4
T45.4X5S,"ADVERSE EFFECT OF IRON AND ITS COMPOUNDS, SEQUELA",2,,2
T45.4X6A,"UNDERDOSING OF IRON AND ITS COMPOUNDS, INITIAL ENCOUNTER",45,,45
T45.511A,"POISONING BY ANTICOAGULANTS, ACCIDENTAL, INIT",359,149,210
T45.511S,"POISONING BY ANTICOAGULANTS, ACCIDENTAL, SEQUELA",1,,1
T45.512A,"POISONING BY ANTICOAGULANTS, INTENTIONAL SELF-HARM, INIT",59,33,26
T45.512D,"POISONING BY ANTICOAGULANTS, INTENTIONAL SELF-HARM, SUBS",4,,4
T45.514A,"POISONING BY ANTICOAGULANTS, UNDETERMINED, INITIAL ENCOUNTER",46,4,42
T45.515A,"ADVERSE EFFECT OF ANTICOAGULANTS, INITIAL ENCOUNTER",9975,5,9970
T45.515D,"ADVERSE EFFECT OF ANTICOAGULANTS, SUBSEQUENT ENCOUNTER",55,,55
T45.515S,"ADVERSE EFFECT OF ANTICOAGULANTS, SEQUELA",10,,10
T45.516A,"UNDERDOSING OF ANTICOAGULANTS, INITIAL ENCOUNTER",652,,652
T45.516D,"UNDERDOSING OF ANTICOAGULANTS, SUBSEQUENT ENCOUNTER",1,,1
T45.521A,"POISONING BY ANTITHROMBOTIC DRUGS, ACCIDENTAL, INIT",12,5,7
T45.522A,"POISONING BY ANTITHROMBOTIC DRUGS, SELF-HARM, INIT",6,3,3
T45.525A,"ADVERSE EFFECT OF ANTITHROMBOTIC DRUGS, INITIAL ENCOUNTER",1172,,1172
T45.525D,"ADVERSE EFFECT OF ANTITHROMBOTIC DRUGS, SUBSEQUENT ENCOUNTER",3,,3
T45.525S,"ADVERSE EFFECT OF ANTITHROMBOTIC DRUGS, SEQUELA",1,,1
T45.526A,"UNDERDOSING OF ANTITHROMBOTIC DRUGS, INITIAL ENCOUNTER",149,,149
T45.526S,"UNDERDOSING OF ANTITHROMBOTIC DRUGS, SEQUELA",1,,1
T45.605A,"ADVERSE EFFECT OF UNSP FIBRINOLYSIS-AFFECTING DRUGS, INIT",2,,2
T45.615A,"ADVERSE EFFECT OF THROMBOLYTIC DRUGS, INITIAL ENCOUNTER",446,,446
T45.615D,"ADVERSE EFFECT OF THROMBOLYTIC DRUGS, SUBSEQUENT ENCOUNTER",6,,6
T45.615S,"ADVERSE EFFECT OF THROMBOLYTIC DRUGS, SEQUELA",1,,1
T45.625A,"ADVERSE EFFECT OF HEMOSTATIC DRUG, INITIAL ENCOUNTER",8,,8
T45.625D,"ADVERSE EFFECT OF HEMOSTATIC DRUG, SUBSEQUENT ENCOUNTER",1,,1
T45.626A,"UNDERDOSING OF HEMOSTATIC DRUGS, INITIAL ENCOUNTER",1,,1
T45.695A,"ADVERSE EFFECT OF OTH FIBRINOLYSIS-AFFECTING DRUGS, INIT",1,,1
T45.7X1A,"POISN BY ANTICOAG ANTAG, VITAMIN K AND OTH COAG, ACC, INIT",3,1,2
T45.7X5A,"ADVERSE EFFECT OF ANTICOAG ANTAG, VIT K AND OTH COAG, INIT",105,,105
T45.7X5D,"ADVERSE EFFECT OF ANTICOAG ANTAG, VIT K AND OTH COAG, SUBS",2,,2
T45.7X6A,"UNDRDOSE OF ANTICOAG ANTAGONIST, VIT K AND OTH COAG, INIT",3,,3
T45.8X1A,"POISN BY OTH PRIM SYSTEMIC AND HEMATOLOG AGENTS, ACC, INIT",3,,3
T45.8X2A,"POISN BY OTH PRIM SYS AND HEMATOLOG AGENTS, SLF-HRM, INIT",10,1,9
T45.8X2D,"POISN BY OTH PRIM SYS AND HEMATOLOG AGENTS, SLF-HRM, SUBS",1,,1
T45.8X5A,"ADVERSE EFFECT OF PRIM SYSTEMIC AND HEMATOLOG AGENTS, INIT",744,1,743
T45.8X5D,"ADVERSE EFFECT OF PRIM SYSTEMIC AND HEMATOLOG AGENTS, SUBS",10,,10
T45.8X5S,"ADVERSE EFFECT OF PRIM SYS AND HEMATOLOG AGENTS, SEQUELA",7,,7
T45.8X6A,"UNDERDOSING OF PRIMARILY SYSTEMIC AND HEMATOLOG AGENTS, INIT",23,,23
T45.95XA,"ADVERSE EFFECT OF UNSP PRIM SYS AND HEMATOLOG AGENT, INIT",2,,2
T46.0X1A,"POISONING BY CARDI-STIM GLYCOS/DRUG SIMLAR ACT, ACC, INIT",104,57,47
T46.0X1S,"POISN BY CARDI-STIM GLYCOS/DRUG SIMLAR ACT, ACC, SEQUELA",1,,1
T46.0X2A,"POISN BY CARDI-STIM GLYCOS/DRUG SIMLAR ACT, SELF-HARM, INIT",8,7,1
T46.0X4A,"POISONING BY CARDI-STIM GLYCOS/DRUG SIMLAR ACT, UNDET, INIT",22,2,20
T46.0X5A,"ADVERSE EFFECT OF CARDI-STIM GLYCOS/DRUG SIMLAR ACT, INIT",826,1,825
T46.0X5D,"ADVERSE EFFECT OF CARDI-STIM GLYCOS/DRUG SIMLAR ACT, SUBS",1,,1
T46.0X6A,"UNDERDOSING OF CARDI-STIM GLYCOS/DRUG SIMLAR ACT, INIT",58,,58
T46.1X1A,"POISONING BY CALCIUM-CHANNEL BLOCKERS, ACCIDENTAL, INIT",166,93,73
T46.1X2A,"POISONING BY CALCIUM-CHANNEL BLOCKERS, SELF-HARM, INIT",134,62,72
T46.1X2D,"POISONING BY CALCIUM-CHANNEL BLOCKERS, SELF-HARM, SUBS",5,1,4
T46.1X4A,"POISONING BY CALCIUM-CHANNEL BLOCKERS, UNDETERMINED, INIT",3,,3
T46.1X5A,"ADVERSE EFFECT OF CALCIUM-CHANNEL BLOCKERS, INIT ENCNTR",1543,,1543
T46.1X5D,"ADVERSE EFFECT OF CALCIUM-CHANNEL BLOCKERS, SUBS ENCNTR",6,,6
T46.1X5S,"ADVERSE EFFECT OF CALCIUM-CHANNEL BLOCKERS, SEQUELA",1,,1
T46.1X6A,"UNDERDOSING OF CALCIUM-CHANNEL BLOCKERS, INITIAL ENCOUNTER",253,,253
T46.2X1A,"POISONING BY OTH ANTIDYSRHYTHMIC DRUGS, ACCIDENTAL, INIT",42,17,25
T46.2X1S,"POISONING BY OTH ANTIDYSRHYTHMIC DRUGS, ACCIDENTAL, SEQUELA",2,,2
T46.2X2A,"POISONING BY OTH ANTIDYSRHYTHMIC DRUGS, SELF-HARM, INIT",7,2,5
T46.2X4A,"POISONING BY OTH ANTIDYSRHYTHMIC DRUGS, UNDETERMINED, INIT",1,,1
T46.2X5A,"ADVERSE EFFECT OF OTHER ANTIDYSRHYTHMIC DRUGS, INIT ENCNTR",1547,,1547
T46.2X5D,"ADVERSE EFFECT OF OTHER ANTIDYSRHYTHMIC DRUGS, SUBS ENCNTR",59,1,58
T46.2X5S,"ADVERSE EFFECT OF OTHER ANTIDYSRHYTHMIC DRUGS, SEQUELA",78,,78
T46.2X6A,"UNDERDOSING OF OTHER ANTIDYSRHYTHMIC DRUGS, INIT ENCNTR",45,,45
T46.3X1A,"POISONING BY CORONARY VASODILATORS, ACCIDENTAL, INIT",23,14,9
T46.3X2A,"POISONING BY CORONARY VASODILATORS, SELF-HARM, INIT",10,,10
T46.3X5A,"ADVERSE EFFECT OF CORONARY VASODILATORS, INITIAL ENCOUNTER",558,,558
T46.3X5D,"ADVERSE EFFECT OF CORONARY VASODILATORS, SUBS ENCNTR",1,,1
T46.3X6A,"UNDERDOSING OF CORONARY VASODILATORS, INITIAL ENCOUNTER",37,,37
T46.4X1A,"POISONING BY ANGIOTENS-CONVERT-ENZYME INHIBITORS, ACC, INIT",97,45,52
T46.4X2A,"POISN BY ANGIOTENS-CONVERT-ENZYME INHIBTR, SELF-HARM, INIT",98,22,76
T46.4X2D,"POISN BY ANGIOTENS-CONVERT-ENZYME INHIBTR, SELF-HARM, SUBS",8,,8
T46.4X5A,"ADVERSE EFFECT OF ANGIOTENS-CONVERT-ENZYME INHIBITORS, INIT",2628,1,2627
T46.4X5D,"ADVERSE EFFECT OF ANGIOTENS-CONVERT-ENZYME INHIBITORS, SUBS",13,,13
T46.4X5S,"ADVERSE EFFECT OF ANGIOTENS-CONVERT-ENZYME INHIBTR, SEQUELA",1,,1
T46.4X6A,"UNDERDOSING OF ANGIOTENS-CONVERT-ENZYME INHIBITORS, INIT",354,,354
T46.5X1A,"POISONING BY OTH ANTIHYPERTN DRUGS, ACCIDENTAL, INIT",226,144,82
T46.5X2A,"POISONING BY OTH ANTIHYPERTENSIVE DRUGS, SELF-HARM, INIT",194,97,97
T46.5X2D,"POISONING BY OTH ANTIHYPERTENSIVE DRUGS, SELF-HARM, SUBS",19,,19
T46.5X2S,"POISONING BY OTH ANTIHYPERTENSIVE DRUGS, SELF-HARM, SEQUELA",1,,1
T46.5X3A,"POISONING BY OTH ANTIHYPERTENSIVE DRUGS, ASSAULT, INIT",1,1,
T46.5X4A,"POISONING BY OTH ANTIHYPERTENSIVE DRUGS, UNDETERMINED, INIT",7,5,2
T46.5X4D,"POISONING BY OTH ANTIHYPERTENSIVE DRUGS, UNDETERMINED, SUBS",1,,1
T46.5X5A,"ADVERSE EFFECT OF OTHER ANTIHYPERTENSIVE DRUGS, INIT ENCNTR",2352,,2352
T46.5X5D,"ADVERSE EFFECT OF OTHER ANTIHYPERTENSIVE DRUGS, SUBS ENCNTR",12,,12
T46.5X5S,"ADVERSE EFFECT OF OTHER ANTIHYPERTENSIVE DRUGS, SEQUELA",4,,4
T46.5X6A,"UNDERDOSING OF OTHER ANTIHYPERTENSIVE DRUGS, INIT ENCNTR",833,,833
T46.5X6D,"UNDERDOSING OF OTHER ANTIHYPERTENSIVE DRUGS, SUBS ENCNTR",1,,1
T46.6X1A,"POISONING BY ANTIHYPERLIP AND ANTIARTERIO DRUGS, ACC, INIT",28,7,21
T46.6X2A,"POISN BY ANTIHYPERLIP AND ANTIARTERIO DRUGS, SELF-HARM, INIT",49,8,41
T46.6X2D,"POISN BY ANTIHYPERLIP AND ANTIARTERIO DRUGS, SELF-HARM, SUBS",1,,1
T46.6X4A,"POISONING BY ANTIHYPERLIP AND ANTIARTERIO DRUGS, UNDET, INIT",1,,1
T46.6X5A,"ADVERSE EFFECT OF ANTIHYPERLIP AND ANTIARTERIO DRUGS, INIT",726,1,725
T46.6X5D,"ADVERSE EFFECT OF ANTIHYPERLIP AND ANTIARTERIO DRUGS, SUBS",23,,23
T46.6X5S,"ADVRS EFFECT OF ANTIHYPERLIP AND ANTIARTERIO DRUGS, SEQUELA",9,,9
T46.6X6A,"UNDERDOSING OF ANTIHYPERLIP AND ANTIARTERIO DRUGS, INIT",224,,224
T46.7X1A,"POISONING BY PERIPHERAL VASODILATORS, ACCIDENTAL, INIT",12,7,5
T46.7X2A,"POISONING BY PERIPHERAL VASODILATORS, SELF-HARM, INIT",3,1,2
T46.7X5A,"ADVERSE EFFECT OF PERIPHERAL VASODILATORS, INITIAL ENCOUNTER",101,,101
T46.7X5D,"ADVERSE EFFECT OF PERIPHERAL VASODILATORS, SUBS ENCNTR",1,,1
T46.7X6A,"UNDERDOSING OF PERIPHERAL VASODILATORS, INITIAL ENCOUNTER",26,,26
T46.8X5A,"ADVERSE EFFECT OF ANTIVARIC DRUGS, INC SCLER AGENTS, INIT",15,,15
T46.902A,"POISN BY UNSP AGENTS AFF THE CARDIOVASC SYS, SELF-HARM, INIT",1,,1
T46.905A,"ADVERSE EFFECT OF UNSP AGENTS AFF THE CARDIOVASC SYS, INIT",14,,14
T46.906A,"UNDERDOSING OF UNSP AGENTS AFF THE CARDIOVASCULAR SYS, INIT",5,,5
T46.991A,"POISONING BY OTH AGENTS AFF THE CARDIOVASC SYS, ACC, INIT",4,2,2
T46.991S,"POISN BY OTH AGENTS AFF THE CARDIOVASC SYS, ACC, SEQUELA",1,,1
T46.992A,"POISN BY OTH AGENTS AFF THE CARDIOVASC SYS, SELF-HARM, INIT",1,1,
T46.995A,"ADVERSE EFFECT OF AGENTS AFF THE CARDIOVASCULAR SYS, INIT",32,,32
T46.996A,"UNDERDOSING OF AGENTS AFF THE CARDIOVASCULAR SYS, INIT",2,,2
T47.0X1A,"POISONING BY HISTAMINE H2-RECEPTOR BLOCKERS, ACC, INIT",5,1,4
T47.0X2A,"POISONING BY HISTAMINE H2-RECEPTOR BLOCKERS, SELF-HARM, INIT",17,1,16
T47.0X2D,"POISONING BY HISTAMINE H2-RECEPTOR BLOCKERS, SELF-HARM, SUBS",4,,4
T47.0X4A,"POISONING BY HISTAMINE H2-RECEPTOR BLOCKERS, UNDET, INIT",1,,1
T47.0X5A,"ADVERSE EFFECT OF HISTAMINE H2-RECEPTOR BLOCKERS, INIT",52,,52
T47.0X5D,"ADVERSE EFFECT OF HISTAMINE H2-RECEPTOR BLOCKERS, SUBS",2,,2
T47.0X6A,"UNDERDOSING OF HISTAMINE H2-RECEPTOR BLOCKERS, INIT ENCNTR",14,,14
T47.1X1A,"POISN BY OTH ANTACIDS AND ANTI-GSTRC-SEC DRUGS, ACC, INIT",32,16,16
